Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction
SLL8_bc02_CCTTCA_L001_R1_001.fastq.gz	NR2F1_E13.5	NR2F1_BG_E13.5_ChIP_rep1	DLX190407-15	ChIP		NR2F1_BG_E13.5_ChIP_rep1	BG	NR2F1	WT	E13.5	1	no	NR2F1_BG_E13.5_ChIP_rep1	NR2F1_BG_E13.5_ChIP_rep1	bigWig	full	255	128	0	50	on	0	50	70164	mean

SLL8_bc01_AAGGGA_L001_R1_001.fastq.gz	NR2F1_E13.5	NR2F1_BG_E13.5_Input_rep1	DLX190407-15	Input		NR2F1_BG_E13.5_Input_rep1	BG	NR2F1	WT	E13.5	1	no	NR2F1_BG_E13.5_Input_rep1	NR2F1_BG_E13.5_Input_rep1	bigWig	full	255	128	0	50	on	0	50	70165	

																									

# OTX2																									

OTX2_BG_E13.5_ChIP_RD_rep1.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_ChIP_rep1	DLX190407-16	ChIP		OTX2_BG_E13.5_ChIP_rep1	BG	OTX2	WT	E13.5	1	no	OTX2_BG_E13.5_ChIP_rep1	OTX2_BG_E13.5_ChIP_rep1	bigWig	full	255	128	0	50	on	0	50	70168	mean

OTX2_BG_E13.5_Input_RD_rep1.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_Input_rep1	DLX190407-16	Input		OTX2_BG_E13.5_Input_rep1	BG	OTX2	WT	E13.5	1	no	OTX2_BG_E13.5_Input_rep1	OTX2_BG_E13.5_Input_rep1	bigWig	full	255	128	0	50	on	0	50	70169	

																									

OTX2_BG_E13.5_ChIP_rep2.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_ChIP_rep2	DLX190407-17	ChIP		OTX2_BG_E13.5_ChIP_rep2	BG	OTX2	WT	E13.5	2	no	OTX2_BG_E13.5_ChIP_rep2	OTX2_BG_E13.5_ChIP_rep2	bigWig	full	255	128	0	50	on	0	50	70171	mean

OTX2_BG_E13.5_Input_rep2.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_Input_rep2	DLX190407-17	Input		OTX2_BG_E13.5_Input_rep2	BG	OTX2	WT	E13.5	2	no	OTX2_BG_E13.5_Input_rep2	OTX2_BG_E13.5_Input_rep2	bigWig	full	255	128	0	50	on	0	50	70172	

																									

OTX2_BG_E13.5_ChIP_rep3.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_ChIP_rep3	DLX190407-18	ChIP		OTX2_BG_E13.5_ChIP_rep3	BG	OTX2	WT	E13.5	3	no	OTX2_BG_E13.5_ChIP_rep3	OTX2_BG_E13.5_ChIP_rep3	bigWig	full	255	128	0	50	on	0	50	70174	mean

OTX2_BG_E13.5_Input_rep3.fastq.gz	OTX2_E13.5	OTX2_BG_E13.5_Input_rep3	DLX190407-18	Input		OTX2_BG_E13.5_Input_rep3	BG	OTX2	WT	E13.5	3	no	OTX2_BG_E13.5_Input_rep3	OTX2_BG_E13.5_Input_rep3	bigWig	full	255	128	0	50	on	0	50	70175	

																									

# MASH1																									

SLL11_bc02_CCTTCA_L005_R1_001.fastq.gz	MASH1_E13.5	MASH1_BG_E13.5_ChIP_rep1	DLX190407-19	ChIP		MASH1_BG_E13.5_ChIP_rep1	BG	MASH1	WT	E13.5	1	no	MASH1_BG_E13.5_ChIP_rep1	MASH1_BG_E13.5_ChIP_rep1	bigWig	full	255	128	0	50	on	0	50	70178	mean

SLL11_bc01_AAGGGA_L005_R1_001.fastq.gz	MASH1_E13.5	MASH1_BG_E13.5_Input_rep1	DLX190407-19	Input		MASH1_BG_E13.5_Input_rep1	BG	MASH1	WT	E13.5	1	no	MASH1_BG_E13.5_Input_rep1	MASH1_BG_E13.5_Input_rep1	bigWig	full	255	128	0	50	on	0	50	70179	

																									

# GSX2																									

SLL11_bc05_AAGACG_L005_R1_001.fastq.gz	GSX2_E13.5	GSX2_BG_E13.5_ChIP_rep1	DLX190407-20	ChIP		GSX2_BG_E13.5_ChIP_rep1	BG	GSX2	WT	E13.5	1	no	GSX2_BG_E13.5_ChIP_rep1	GSX2_BG_E13.5_ChIP_rep1	bigWig	full	255	128	0	50	on	0	50	70182	mean

SLL11_bc04_TTCAGC_L005_R1_001.fastq.gz	GSX2_E13.5	GSX2_BG_E13.5_Input_rep1	DLX190407-20	Input		GSX2_BG_E13.5_Input_rep1	BG	GSX2	WT	E13.5	1	no	GSX2_BG_E13.5_Input_rep1	GSX2_BG_E13.5_Input_rep1	bigWig	full	255	128	0	50	on	0	50	70183	

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

																									

